P (Pa),y (mm),U (m/s),U/Um,y/b
18.47,-28,5.59,0.11535,-2.15385
26.7,-26,6.72,0.13869,-2.00000
62.9,-24,10.32,0.21287,-1.84615
120.8,-22,14.30,0.29500,-1.69231
197,-20,18.26,0.37673,-1.53846
256,-18,20.82,0.42945,-1.38462
421,-16,26.70,0.55072,-1.23077
476,-14,28.39,0.58559,-1.07692
567,-12,30.98,0.63912,-0.92308
725,-10,35.04,0.72270,-0.76923
859,-8,38.14,0.78666,-0.61538
932,-6,39.72,0.81941,-0.46154
1240,-4,45.82,0.94515,-0.30769
1355,-2,47.90,0.98801,-0.15385
1388,0,48.48,0.99997,0.00000
1305,2,47.01,0.96961,0.15385
1411,4,48.88,1.00822,0.30769
956,6,40.23,0.82989,0.46154
874,8,38.47,0.79350,0.61538
544,10,30.35,0.62602,0.76923
432,12,27.05,0.55787,0.92308
301,14,22.58,0.46567,1.07692
218,16,19.21,0.39630,1.23077
139,18,15.34,0.31645,1.38462
76.2,20,11.36,0.23430,1.53846
23.1,22,6.25,0.12900,1.69231
4.5,24,2.76,0.05694,1.84615
0,26,0.00,0.00000,2.00000
,,,,
,,,,
,,,,
,,,,
,,,,
