P (Pa),y (mm),U (m/s),U/Um,y/b
3.81,-19,2.54,0.04637,-2.00000
10.59,-18,4.23,0.07730,-1.89474
29.1,-17,7.02,0.12814,-1.78947
21.4,-16,6.02,0.10989,-1.68421
118.8,-15,14.18,0.25890,-1.57895
144.5,-14,15.64,0.28554,-1.47368
211,-13,18.90,0.34504,-1.36842
372,-12,25.10,0.45815,-1.26316
540,-11,30.24,0.55199,-1.15789
678,-10,33.88,0.61851,-1.05263
803,-9,36.87,0.67312,-0.94737
916,-8,39.38,0.71892,-0.84211
1066,-7,42.48,0.77555,-0.73684
1311,-6,47.11,0.86007,-0.63158
1391,-5,48.53,0.88592,-0.52632
1506,-4,50.50,0.92182,-0.42105
1626,-3,52.47,0.95784,-0.31579
1695,-2,53.57,0.97795,-0.21053
1759,-1,54.57,0.99624,-0.10526
1772,0,54.78,0.99992,0.00000
1769,1,54.73,0.99907,0.10526
1739,2,54.26,0.99056,0.21053
1672,3,53.21,0.97129,0.31579
1477,4,50.01,0.91290,0.42105
1401,5,48.70,0.88910,0.52632
1244,6,45.89,0.83780,0.63158
1053,7,42.22,0.77081,0.73684
789,8,36.55,0.66722,0.84211
655,9,33.30,0.60793,0.94737
498,10,29.04,0.53009,1.05263
391,11,25.73,0.46970,1.15789
334,12,23.78,0.43412,1.26316
227,13,19.61,0.35789,1.36842
160,14,16.46,0.30046,1.47368
110,15,13.65,0.24913,1.57895
69.9,16,10.88,0.19860,1.68421
46.8,17,8.90,0.16250,1.78947
23.5,18,6.31,0.11515,1.89474
1.61,19,1.65,0.03014,2.00000
,,,,
