P (Pa),y (mm),U (m/s),U/Um,y/b
5.37,-42,3.02,0.08435,-2.00000
20.2,-39,5.85,0.16359,-1.85714
43.9,-36,8.62,0.24116,-1.71429
58.2,-33,9.93,0.27768,-1.57143
89.9,-30,12.34,0.34511,-1.42857
130.9,-27,14.89,0.41644,-1.28571
192.3,-24,18.04,0.50474,-1.14286
237,-21,20.03,0.56034,-1.00000
294,-18,22.31,0.62410,-0.85714
380,-15,25.37,0.70953,-0.71429
556,-12,30.68,0.85825,-0.57143
615,-9,32.27,0.90264,-0.42857
715,-6,34.79,0.97326,-0.28571
745,-3,35.52,0.99347,-0.14286
755,0,35.75,1.00012,0.00000
736,3,35.30,0.98745,0.14286
700,6,34.43,0.96300,0.28571
625,9,32.53,0.90995,0.42857
533,12,30.04,0.84031,0.57143
476,15,28.39,0.79411,0.71429
400,18,26.02,0.72796,0.85714
300,21,22.54,0.63043,1.00000
230,24,19.73,0.55200,1.14286
168,27,16.87,0.47177,1.28571
135,30,15.12,0.42291,1.42857
82.1,33,11.79,0.32980,1.57143
51.3,36,9.32,0.26070,1.71429
22,39,6.10,0.17072,1.85714
7.05,42,3.46,0.09664,2.00000
1.47,45,1.58,0.04413,2.14286
,,,,
