P (Pa),y (mm),U (m/s),U/Um,y/b
2.60,-48,2.10,0.06393,-2.00000
19.7,-44,5.78,0.17597,-1.83333
51,-40,9.29,0.28314,-1.66667
76,-36,11.34,0.34564,-1.50000
116,-32,14.01,0.42702,-1.33333
154.8,-28,16.19,0.49329,-1.16667
231,-24,19.78,0.60259,-1.00000
295,-20,22.35,0.68097,-0.83333
382,-16,25.43,0.77490,-0.66667
490,-12,28.80,0.87763,-0.50000
549,-8,30.49,0.92897,-0.33333
605,-4,32.01,0.97520,-0.16667
636,0,32.82,0.99987,0.00000
610,4,32.14,0.97922,0.16667
550,8,30.52,0.92982,0.33333
467,12,28.12,0.85679,0.50000
389,16,25.66,0.78197,0.66667
307,20,22.80,0.69468,0.83333
247,24,20.45,0.62311,1.00000
166,28,16.77,0.51082,1.16667
124,32,14.49,0.44150,1.33333
78,36,11.49,0.35016,1.50000
42,40,8.43,0.25695,1.66667
21.2,44,5.99,0.18255,1.83333
7.44,48,3.55,0.10814,2.00000
,,,,
,,,,
,,,,
,,,,
,,,,
