P (Pa),y (mm),U(m/s),U/Um,y/b
12.08,-56,4.52,0.15,-2.00000
17.7,-52,5.47,0.18,-1.85714
33.6,-48,7.54,0.25,-1.71429
54,-44,9.56,0.31,-1.57143
71.4,-40,11.00,0.36,-1.42857
113,-36,13.83,0.45,-1.28571
147,-32,15.78,0.52,-1.14286
199.2,-28,18.37,0.60,-1.00000
243,-24,20.28,0.66,-0.85714
309,-20,22.87,0.75,-0.71429
368,-16,24.96,0.81,-0.57143
421,-12,26.70,0.87,-0.42857
483,-8,28.60,0.93,-0.28571
514,-4,29.50,0.96,-0.14286
554,0,30.63,1.00,0.00000
532,4,30.01,0.98,0.14286
523,8,29.76,0.97,0.28571
490,12,28.80,0.94,0.42857
447,16,27.51,0.90,0.57143
400,20,26.02,0.85,0.71429
337,24,23.89,0.78,0.85714
255,28,20.78,0.68,1.00000
202,32,18.49,0.60,1.14286
148,36,15.83,0.52,1.28571
116,40,14.01,0.46,1.42857
86.2,44,12.08,0.39,1.57143
50.4,48,9.24,0.30,1.71429
24.1,52,6.39,0.21,1.85714
12.6,56,4.62,0.15,2.00000
3.6,60,2.47,0.08,2.14286
,,,,
,,,,
