lower_x,lower_y,upper_x,upper_y,X_l,x_lower,X_u,x_upper
0.00033,-0.00192,1,0,10.5,0.051673,6.5,0.031988
0.00071,-0.00362,0.99655,0.00159,18.5,0.091043,10.5,0.051673
0.00125,-0.00518,0.98706,0.0065,24.5,0.120571,18.5,0.091043
0.00157,-0.0059,0.97304,0.01434,31.5,0.15502,24.5,0.120571
0.00194,-0.00656,0.9553,0.02381,40.5,0.199311,31.5,0.15502
0.00237,-0.00717,0.93358,0.03376,48.5,0.238681,40.5,0.199311
0.00288,-0.00771,0.90734,0.044,57,0.280512,48.5,0.238681
0.00348,-0.00823,0.87671,0.05481,66.5,0.327264,57,0.280512
0.00415,-0.00874,0.84221,0.0662,72.5,0.356791,66.5,0.327264
0.00571,-0.00969,0.80436,0.07803,80.5,0.396161,72.5,0.356791
0.00751,-0.01057,0.76373,0.0901,87.5,0.43061,80.5,0.396161
0.01065,-0.01177,0.7209,0.10215,95.5,0.46998,87.5,0.43061
0.01365,-0.01266,0.67644,0.11391,102.5,0.504429,95.5,0.46998
0.02892,-0.01485,0.63092,0.12506,111.5,0.54872,102.5,0.504429
0.04947,-0.01482,0.58491,0.13524,118.5,0.583169,111.5,0.54872
0.07533,-0.01236,0.53893,0.1441,125.5,0.617618,118.5,0.583169
0.1067,-0.0074,0.49347,0.15116,133.5,0.656988,125.5,0.617618
0.14385,-0.00002,0.4487,0.15593,140.5,0.691437,133.5,0.656988
0.18727,0.00922,0.40464,0.15828,147.5,0.725886,140.5,0.691437
0.23688,0.01913,0.36149,0.15824,155.5,0.765256,147.5,0.725886
0.29196,0.02865,0.31947,0.1559,162.5,0.799705,155.5,0.765256
0.35163,0.03687,0.27885,0.15138,,,,
0.41449,0.04283,0.23987,0.14485,,,,
0.47867,0.04626,0.20286,0.13657,,,,
0.54275,0.0476,0.16816,0.12676,,,,
0.60579,0.04715,0.13611,0.11562,,,,
0.6669,0.04501,0.107,0.10337,,,,
0.72503,0.04126,0.08106,0.09023,,,,
0.77912,0.03625,0.05852,0.07646,,,,
0.82836,0.0305,0.03953,0.06232,,,,
0.87219,0.02444,0.02421,0.04812,,,,
0.91012,0.01844,0.01262,0.03419,,,,
0.94179,0.01286,0.00481,0.02093,,,,
0.96692,0.00794,0.00071,0.00879,,,,
0.98519,0.0039,0.00002,0.00088,,,,
0.99629,0.00106,,,,,,
1,0,,,,,,
