,y,P,Unnamed: 2,y (cm) - actual,U (m/s),U/Uinf,eta,Ubratio,Kb,Interpolated K Values
0,13.3,2.9,,0.02,2.209,0.369,0.364,0.12078,0.32732,0.30739
1,13.4,7.8,,0.12,3.622,0.605,2.187,0.67524,1.1161,1.22804
2,13.5,10.6,,0.22,4.223,0.705,4.009,0.95593,1.35593,1.32859
3,13.6,12.0,,0.32,4.493,0.751,5.831,0.99829,1.32928,1.30786
4,13.7,12.8,,0.42,4.64,0.775,7.653,1.0,1.29032,1.244
5,13.8,14.4,,0.52,4.922,0.822,9.476,1.0,1.21655,1.20915
6,13.9,15.2,,0.62,5.056,0.845,11.298,1.0,1.18343,1.15733
7,14.0,15.9,,0.72,5.172,0.864,13.12,1.0,1.15741,1.13147
8,14.1,16.9,,0.82,5.332,0.891,14.942,1.0,1.12233,1.09533
9,14.2,17.6,,0.92,5.441,0.909,16.765,1.0,1.10011,1.07298
10,14.3,19.0,,1.02,5.653,0.944,18.587,1.0,1.05932,1.05652
11,14.4,19.6,,1.12,5.742,0.959,20.409,1.0,1.04275,1.03994
12,14.5,20.2,,1.22,5.829,0.974,22.231,1.0,1.02669,1.02452
13,14.6,20.8,,1.32,5.915,0.988,24.053,1.0,1.01215,1.01159
14,14.7,21.1,,1.42,5.958,0.995,25.876,1.0,1.00503,1.00473
15,14.8,21.2,,1.52,5.972,0.998,27.698,1.0,1.002,1.00003
16,14.9,21.3,,1.62,5.986,1.0,29.52,1.0,1.0,1.0
17,15.0,21.3,,1.72,5.986,1.0,31.342,1.0,1.0,1.0
18,,,,,,,,,,1.0
19,,,,,,,,,,1.0
20,,,,,,,,,,1.0
21,,,,,,,,,,1.0
22,,,,,,,,,,1.0
23,,,,,,,,,,1.0
24,,,,,,,,,,1.0
