,y,P,y (cm) - actual,U (m/s),U/Uinf,eta,Ubratio,Kb,Interpolated K Values
0,13.4,2.3,0.02,1.967,0.323,0.219,0.07266,0.22495,0.21499
1,13.5,3.2,0.12,2.32,0.381,1.316,0.42902,1.12604,0.86161
2,13.6,7.3,0.22,3.504,0.575,2.413,0.73016,1.26984,1.31741
3,13.7,10.9,0.32,4.282,0.702,3.509,0.91376,1.30165,1.34642
4,13.8,11.8,0.42,4.455,0.731,4.606,0.98204,1.34342,1.33541
5,13.9,12.8,0.52,4.64,0.761,5.703,0.99775,1.3111,1.31293
6,14.0,13.6,0.62,4.783,0.784,6.8,0.99982,1.27528,1.27171
7,14.1,14.2,0.72,4.887,0.802,7.896,1.0,1.24688,1.23811
8,14.2,14.7,0.82,4.973,0.816,8.993,1.0,1.22549,1.21569
9,14.3,15.5,0.92,5.106,0.837,10.09,1.0,1.19474,1.19448
10,14.4,16.4,1.02,5.252,0.861,11.186,1.0,1.16144,1.15932
11,14.5,16.8,1.12,5.316,0.872,12.283,1.0,1.14679,1.14049
12,14.6,17.4,1.22,5.41,0.887,13.38,1.0,1.1274,1.12867
13,14.7,18.0,1.32,5.503,0.902,14.476,1.0,1.10865,1.10245
14,14.8,18.5,1.42,5.578,0.915,15.573,1.0,1.0929,1.08714
15,14.9,19.2,1.52,5.683,0.932,16.67,1.0,1.07296,1.07409
16,15.0,19.7,1.62,5.756,0.944,17.767,1.0,1.05932,1.06303
17,15.1,19.9,1.72,5.786,0.949,18.863,1.0,1.05374,1.05472
18,15.2,20.3,1.82,5.843,0.958,19.96,1.0,1.04384,1.04487
19,15.3,20.6,1.92,5.887,0.965,21.057,1.0,1.03627,1.03432
20,15.4,20.9,2.02,5.929,0.972,22.153,1.0,1.02881,1.02521
21,15.5,21.2,2.12,5.972,0.979,23.25,1.0,1.02145,1.01644
22,15.6,21.5,2.22,6.014,0.986,24.347,1.0,1.0142,1.01038
23,15.7,21.7,2.32,6.042,0.991,25.443,1.0,1.00908,1.00656
24,15.8,21.8,2.42,6.056,0.993,26.54,1.0,1.00705,1.00197
25,15.9,22.1,2.52,6.097,1.0,27.637,1.0,1.0,1.00013
26,16.0,22.1,2.62,6.097,1.0,28.734,1.0,1.0,1.0
27,16.1,22.1,2.72,6.097,1.0,29.83,1.0,1.0,1.0
28,,,,,,,,,1.0
29,,,,,,,,,1.0
30,,,,,,,,,1.0
31,,,,,,,,,1.0
32,,,,,,,,,1.0
33,,,,,,,,,1.0
